Casename	Study	stat_para	stat_aneu	stat_red	stat_yel	stat_wht	stat_dom	stat_bod	stat_nek	stat_part	stat_press	
a06161.1	msa.2	mean	1932433.19	2402147.92	     0.00	387839.92	2466787.04	1846216.64	1379492.65	458555.04	897510.31	
a06161.1	msa.2	max	5313072.98	5313072.98	     0.00	1375264.25	5313072.98	5128374.34	4472200.61	2543260.33	5313072.98	
a06161.1	msa.2	min	   987.04	  1883.40	     0.00	  4439.67	 10057.08	  1388.03	   987.04	    88.16	    88.16	
a06161.1	msa.2	stddev	1148337.13	1096666.53	     0.00	210888.96	1029077.33	1099934.55	1087714.56	272931.27	948327.02	
a10151.1	msa.2	mean	1350218.85	2148371.76	     0.00	653946.10	1427862.48	1207796.08	1544336.73	523929.01	703071.09	
a10151.1	msa.2	max	4536069.14	3608019.68	     0.00	1638316.10	3608019.68	3489637.23	4536069.14	4132570.96	4536069.14	
a10151.1	msa.2	min	  2326.39	234711.57	     0.00	  6427.87	  3535.83	  2674.91	  2326.39	   186.09	   186.09	
a10151.1	msa.2	stddev	874332.53	598405.81	     0.00	233115.55	714906.39	707742.25	1212689.08	409060.79	642433.62	
a10151.2	msa.2	mean	2054651.74	2994141.22	     0.00	1141501.27	1999416.37	2030260.19	2145241.69	509580.06	975875.39	
a10151.2	msa.2	max	7179312.55	7179312.55	     0.00	2007547.48	4230075.74	7097260.35	7179312.55	4723045.86	7179312.55	
a10151.2	msa.2	min	   410.37	396355.86	     0.00	388237.11	 12400.93	   410.37	  4367.07	   442.68	   410.37	
a10151.2	msa.2	stddev	1185310.61	1362764.34	     0.00	289042.29	936145.45	1226434.67	1290352.38	371638.36	1011667.75	
agh050.1	msa.2	mean	1355779.48	     0.00	     0.00	629203.91	1241786.49	1341321.06	1498682.36	563163.28	908227.53	
agh050.1	msa.2	max	3311848.26	     0.00	     0.00	1400878.06	2865754.12	2756287.07	3311848.26	3878372.96	3878372.96	
agh050.1	msa.2	min	  2106.20	     0.00	     0.00	 62238.56	  2106.20	105632.37	 34843.22	   914.18	   914.18	
agh050.1	msa.2	stddev	652454.49	     0.00	     0.00	217176.00	530009.59	650087.48	736594.63	445075.15	672021.98	
agh065.2	msa.2	mean	1459122.20	1997225.81	     0.00	     0.00	1102487.40	1752516.65	1330977.30	372045.88	694677.84	
agh065.2	msa.2	max	4788445.03	4788445.03	     0.00	     0.00	3138603.45	4713526.78	4788445.03	1696516.57	4788445.03	
agh065.2	msa.2	min	  2618.42	 11715.30	     0.00	     0.00	  2618.42	 11715.30	107040.40	   198.41	   198.41	
agh065.2	msa.2	stddev	946190.23	1215872.14	     0.00	     0.00	632187.64	1048994.46	879623.54	205592.76	736251.02	
agh065.3	msa.2	mean	821027.04	641267.38	     0.00	446040.96	689941.94	899634.87	823419.23	325895.49	474788.35	
agh065.3	msa.2	max	2099666.34	1068322.56	     0.00	1002583.43	1706982.52	2099666.34	1834549.15	1190824.91	2099666.34	
agh065.3	msa.2	min	  3235.28	282150.54	     0.00	 24259.06	  3235.28	225151.96	272981.37	   277.09	   277.09	
agh065.3	msa.2	stddev	442582.26	197991.22	     0.00	148706.85	364522.41	511988.59	310871.87	189284.02	368117.27	
agh075.1	msa.2	mean	1241179.73	1639006.41	     0.00	615505.90	782710.00	1252428.38	1708707.77	453233.48	624407.08	
agh075.1	msa.2	max	3600355.44	3313043.11	     0.00	1424647.05	1717008.79	3287271.51	3600355.44	2919556.93	3600355.44	
agh075.1	msa.2	min	  1597.65	190539.94	     0.00	 42524.57	  1597.65	105151.58	 49307.32	    30.61	    30.61	
agh075.1	msa.2	stddev	774767.66	705113.56	     0.00	191670.48	448575.98	658174.76	947503.60	320153.20	562323.97	
agh084.1	msa.2	mean	1282530.57	2023684.74	     0.00	     0.00	964563.66	1428303.00	1446047.42	420628.43	726546.42	
agh084.1	msa.2	max	4075222.75	3492260.03	     0.00	     0.00	2829396.33	4075222.75	3535938.17	1692511.94	4075222.75	
agh084.1	msa.2	min	  3047.47	299699.30	     0.00	     0.00	  3648.96	  3047.47	  6164.73	   416.98	   416.98	
agh084.1	msa.2	stddev	754861.32	851947.47	     0.00	     0.00	484032.69	793903.92	856983.48	227207.07	636892.88	
agh088.1	msa.2	mean	1364638.63	1950540.37	     0.00	481043.97	953756.48	1510087.49	1505145.83	565125.63	751417.28	
agh088.1	msa.2	max	3343288.23	3343288.23	     0.00	812155.25	1787718.75	3343288.23	2667439.16	2963168.76	3343288.23	
agh088.1	msa.2	min	  2222.84	  3525.52	     0.00	313923.21	  2222.84	280564.59	108703.44	   132.87	   132.87	
agh088.1	msa.2	stddev	610054.21	944048.01	     0.00	 89143.37	499149.41	587090.09	561763.82	338040.42	537215.50	
agh096.1	msa.2	mean	1332958.70	2061733.96	     0.00	239663.23	1664740.93	1203602.47	1218779.38	388702.23	578142.80	
agh096.1	msa.2	max	4306062.29	4306062.29	     0.00	604864.95	4306062.29	4265700.35	2865822.13	2187048.18	4306062.29	
